,submission_id,group,StimID,AnswerCertainty,AnswerPolarity,ContextType,attention_score,reasoning_score,posterior_confidence,prior_confidence,posterior_sliderResponse,prior_sliderResponse,relevance_sliderResponse,first_order_belief_change,second_order_belief_change,entropy_change,kl_utility,bayes_factor_utility,beta_kl_utility,beta_entropy_change,beta_bayes_factor_utility,pure_second_order_belief_change,prior_beta_for_kl_a,prior_beta_for_kl_b,posterior_beta_for_kl_a,posterior_beta_for_kl_b,prior_beta_for_entropy_a,prior_beta_for_entropy_b,posterior_beta_for_entropy_a,posterior_beta_for_entropy_b,prior_beta_for_bf_a,prior_beta_for_bf_b,posterior_beta_for_bf_a,posterior_beta_for_bf_b,prior_beta_for_2nd_order_change_a,prior_beta_for_2nd_order_change_b,posterior_beta_for_2nd_order_change_a,posterior_beta_for_2nd_order_change_b
0,3010,relevant,1,low_certainty,negative,positive,1.0,0.75,5,5,0.66,0.8,0.35000000000000003,0.14,0,0.2028906101,0.1626816478,0.5147058824,0.9049525301,1.275e-07,7.9052177695,0.0,59.0002628507,15.5000657127,48.8502168519,25.6501117116,1.0008783059,1.0002195765,1.0007246024,1.00037328,7742.122590478,1936.2806476195,6387.4261371443,3290.9771009531,36.6677505607,9.9169376402,30.4258942126,16.1587939883
1,3010,relevant,2,low_certainty,negative,neutral,1.0,0.75,5,5,0.2,0.75,0.4,0.55,0,0.0893500296,0.8906243631,0.9166666667000001,1.0,5.4400000000000004e-08,9.2729436056,0.0,55.3752464226,19.1250821409,15.5000657127,59.0002628507,1.0008234118,1.0002744706,1.0002195765,1.0008783059,7258.3024285731,2420.1008095244,1936.2806476195,7742.122590478,34.4385161507,12.1461720502,9.9169376402,36.6677505607
2,3010,relevant,4,exhaustive,negative,neutral,1.0,0.75,4,5,0.01,0.05,0.66,0.04,1,0.2056038212,0.0788862203,0.8080808081,0.5990111873,8.56e-08,9.0886552519,24.9776840206,4.6250164282,69.8753121352,1.3703777537000001,37.66739762,1.0000548941,1.0010429883,1.0000093474,1.0009253908,484.8201619049,9193.5830761926,9.2413195953,816.8906399322,3.22923441,43.3554537909,1.1960700418,20.4109341385
3,3010,relevant,5,high_certainty,positive,neutral,1.0,0.75,6,5,0.8,0.7000000000000001,1.0,0.1,1,0.1593628043,0.08192864350000001,0.4166666667,0.7772736631,1.899e-07,11.5493463255,53.8518719378,51.7502299944,22.750098569,113.1421157413,29.0355289353,1.0007685177,1.0003293647,1.0010088319,1.000252208,6774.4822666682,2903.9209714292,90707.9006543381,22677.7251635845,32.2092817406,14.3754064603,79.749248111,20.6873120277
4,3010,relevant,6,low_certainty,positive,positive,1.0,0.75,3,5,0.45,0.74,0.25,0.29,2,0.1660280815,0.46492566090000004,0.7125307125,0.9998705015,1.657e-07,9.1705476419,36.5628838767,54.6502431369,19.8500854265,9.3050138702,11.150572508,1.000812433,1.0002854494,1.0003472233,1.000424384,7161.5383961921,2516.8648419053,31.8327454739,38.6844666904,33.9926692687,12.5920189322,4.6098119459,5.4119923783
5,3010,relevant,7,high_certainty,negative,negative,1.0,0.75,5,3,0.05,0.1,0.45,0.05,2,0.1825986365,0.053985891,0.5263157895,0.45421664910000004,2.984e-07,9.1705476419,36.5628838768,2.8455586378,17.6100277404,4.6250164282,69.8753121352,1.0000771607,1.0006944466,1.0000548941,1.0010429883,7.8517212164,62.6654909479,484.8201619049,9193.5830761926,1.8021804324000001,8.2196238917,3.22923441,43.3554537909
6,3010,relevant,10,exhaustive,positive,neutral,1.0,0.75,6,4,0.9500000000000001,0.15,1.0,0.8,2,0.3234433476,0.9952733181000001,0.9907120743000001,1.0,4.164e-07,11.6312549634,78.8295559583,6.5556663061,32.4821090677,134.1687624428,8.0088822338,1.0001402107,1.0007945275,1.0011979879,1.000063052,124.6197939291,701.5121655984,107715.4445270265,5670.1812908961,3.9410506271,17.6659535533,94.5147321318,5.9218280069
7,3010,relevant,11,high_certainty,positive,negative,1.0,0.75,7,7,0.9,0.7000000000000001,1.0,0.2,0,0.4122953056,0.3205098295,0.7407407407000001,1.0,3.996e-07,13.1831591262,0.0,189.5338986137,81.800242263,243.400726789,27.9334140877,1.0009969475,1.0004272632,1.0012817896,1.0001424211,929844.1082408509,398505.1892460788,1195513.5677382369,132835.7297486929,151.1788148736,65.3623492315,194.0870476946,22.4541164105
8,3010,relevant,12,exhaustive,positive,neutral,1.0,0.75,7,5,1.0,0.02,1.0,0.98,2,0.14144054250000002,0.9999977294000001,1.0,1.0,4.4930000000000003e-07,14.1064164119,169.9564759042,2.4500065713,72.0503219921,270.3341408767,1.0,1.0000219576,1.0010759247,1.0014242107,1.0,194.5280647619,9483.8751733355,1328348.2974869297,1.0,1.8916937640000002,44.6929944369,215.5411641051,1.0
9,3011,helpful,1,high_certainty,negative,negative,1.0,1.0,6,6,0.01,0.1,0.97,0.09,0,0.3882024577,0.2109749482,0.9090909091,0.9999940623,2.091e-07,9.9238318295,1e-10,15.0177644677,127.1598802089,2.4017764468,139.7758682298,1.000126104,1.0011349359,1.0000126104,1.0012484295,11339.3625817923,102046.2632361304,1134.8362581792,112250.7895597434,10.8436560139,89.5929041249,1.9843656014,98.4521945373
10,3011,helpful,2,exhaustive,positive,neutral,1.0,1.0,7,5,1.0,0.65,1.0,0.35000000000000003,2,0.9340680554,0.7609374084,1.0,1.0,8.608e-07,14.0972598486,169.9564759042,48.1252135662,26.3751149972,270.3341408767,1.0,1.0007136235,1.0003842588,1.0014242107,1.0,6290.6621047633,3387.7411333341,1328348.2974869297,1.0,29.9800473306,16.6046408703,215.5411641051,1.0
11,3011,helpful,3,high_certainty,negative,negative,1.0,1.0,6,2,0.03,0.4,0.97,0.37,4,0.7765587366000001,0.7246548769000001,0.9536082474,0.9961894706000001,6.789000000000001e-07,11.6385144577,95.7882266136,4.4874473258,6.2311709887,5.2053293403,136.9723153363,1.0002433959,1.0003650938,1.0000378312,1.0012232087,2.6076914852,3.4115372277000002,3402.5087745377,109983.1170433849,2.0593334101,2.5890001151,3.9530968042,96.4834633346
12,3011,helpful,5,non_answer,,positive,1.0,1.0,3,3,0.75,0.75,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6931471806,0.0,14.8416897836,5.6138965945,14.8416897836,5.6138965945,1.0005787055,1.0001929018,1.0005787055,1.0001929018,52.387909123200004,18.129303041100002,52.387909123200004,18.129303041100002,7.0163532431,3.005451081,7.0163532431,3.005451081
13,3011,helpful,6,high_certainty,positive,negative,1.0,1.0,3,2,0.7000000000000001,0.4,0.63,0.30000000000000004,1,0.0896596952,0.4569353242,0.7142857143,0.69192767,5.3000000000000005e-08,4.1971716232,5.3734707989,4.4874473258,6.2311709887,13.9189104647,6.5366759135,1.0002433959,1.0003650938,1.0005401251,1.0002314822,2.6076914852,3.4115372277000002,48.962048515,21.5551636493,2.0593334101,2.5890001151,6.6152630269,3.4065412972
14,3011,helpful,8,non_answer,,positive,1.0,1.0,3,3,0.6000000000000001,0.6000000000000001,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6931471806,0.0,12.0733518269,8.3822345513,12.0733518269,8.3822345513,1.0004629644,1.0003086429,1.0004629644,1.0003086429,42.1103272986,28.4068848657,42.1103272986,28.4068848657,5.8130825945,4.2087217296,5.8130825945,4.2087217296
15,3011,helpful,9,exhaustive,positive,positive,1.0,1.0,7,4,1.0,0.6000000000000001,1.0,0.4,3,0.9709505945,0.8167540412000001,1.0,1.0,9.204e-07,14.0993235083,194.9341599248,23.222665224300002,15.8151101495,270.3341408767,1.0,1.0005608429,1.0003738953,1.0014242107,1.0,495.4791757165,330.652783811,1328348.2974869297,1.0,12.7642025082,8.8428016721,215.5411641051,1.0
16,3011,helpful,11,low_certainty,negative,neutral,1.0,1.0,5,4,0.2,0.5,0.75,0.30000000000000004,1,0.2780719051,0.4728574236,0.75,0.9967992755,2.076e-07,9.0886552519,24.9776840205,19.5188876869,19.5188876869,15.5000657127,59.0002628507,1.0004673691,1.0004673691,1.0002195765,1.0008783059,413.0659797638,413.0659797638,1936.2806476195,7742.122590478,10.8035020902,10.8035020902,9.9169376402,36.6677505607
17,3011,helpful,12,high_certainty,positive,positive,1.0,1.0,6,4,0.98,0.9,0.97,0.08,2,0.32755505100000004,0.15658960560000001,0.8163265306,0.9204832758,4.355e-07,11.6312549634,78.8295559585,34.3339978364,4.7037775374,138.3740917831,3.8035528935,1.0008412644,1.0000934738,1.0012358191,1.0000252208,742.7187635748,83.4131959528,111116.9533015642,2268.6725163585,18.6463037623,2.960700418,97.467828936,2.9687312028
18,3012,helpful,1,exhaustive,positive,positive,1.0,0.625,7,5,1.0,0.76,1.0,0.24,2,0.7950402794,0.5981431981,1.0,1.0,7.715e-07,14.0956524504,169.9564759042,56.1002497082,18.4000788552,270.3341408767,1.0,1.0008343906,1.0002634918,1.0014242107,1.0,7355.0664609541,2323.3367771434,1328348.2974869297,1.0,34.8843630327,11.7003251682,215.5411641051,1.0
19,3012,helpful,2,non_answer,,neutral,1.0,0.625,4,4,0.85,0.85,0.0,0.0,0,0.0,0.0,-2.2204460489999999e-16,0.0,0.0,0.6931471806,0.0,32.4821090677,6.5556663061,32.4821090677,6.5556663061,1.0007945275,1.0001402107,1.0007945275,1.0001402107,701.5121655984,124.6197939291,701.5121655984,124.6197939291,17.6659535533,3.9410506271,17.6659535533,3.9410506271
20,3012,helpful,3,low_certainty,positive,positive,1.0,0.625,3,3,0.65,0.65,0.17,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6931471806,0.0,12.9961311458,7.4594552324,12.9961311458,7.4594552324,1.0005015447,1.0002700626,1.0005015447,1.0002700626,45.5361879068,24.9810242575,45.5361879068,24.9810242575,6.2141728107,3.8076315134,6.2141728107,3.8076315134
