,submission_id,group,StimID,AnswerCertainty,AnswerPolarity,ContextType,attention_score,reasoning_score,posterior_confidence,prior_confidence,posterior_sliderResponse,prior_sliderResponse,relevance_sliderResponse,first_order_belief_change,second_order_belief_change,entropy_change,kl_utility,kl,bayes_factor_utility,beta_kl_utility,beta_kl,beta_entropy_change,beta_bayes_factor_utility_1,pure_second_order_belief_change,entropy_change_scaled,kl_scaled,beta_entropy_change_scaled,beta_kl_scaled,beta_bayes_factor_utility_1_scaled,pure_second_order_belief_change_scaled,prior_beta_for_beta_kl_a,prior_beta_for_beta_kl_b,posterior_beta_for_beta_kl_a,posterior_beta_for_beta_kl_b,prior_beta_for_beta_entropy_change_a,prior_beta_for_beta_entropy_change_b,posterior_beta_for_beta_entropy_change_a,posterior_beta_for_beta_entropy_change_b,prior_beta_for_beta_bayes_factor_utility_1_a,prior_beta_for_beta_bayes_factor_utility_1_b,posterior_beta_for_beta_bayes_factor_utility_1_a,posterior_beta_for_beta_bayes_factor_utility_1_b,prior_beta_for_pure_second_order_belief_change_a,prior_beta_for_pure_second_order_belief_change_b,posterior_beta_for_pure_second_order_belief_change_a,posterior_beta_for_pure_second_order_belief_change_b,prior_beta_for_kl_a,prior_beta_for_kl_b,posterior_beta_for_kl_a,posterior_beta_for_kl_b,prior_beta_for_entropy_change_a,prior_beta_for_entropy_change_b,posterior_beta_for_entropy_change_a,posterior_beta_for_entropy_change_b
0,5794,relevant,2,non_answer,,neutral,1.0,0.875,4,4,0.7000000000000001,0.7000000000000001,0.04,0.0,0,0.0,0.0,0.0,1.110223025e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4479725085,8.4777025036,18.4479725085,8.4777025036,26.8502297394,12.0786698883,26.8502297394,12.0786698883,1628.5315726981,698.5135311563,1628.5315726981,698.5135311563,5.2336048671,2.8144020859000003,5.2336048671,2.8144020859000003,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0
1,5794,relevant,3,low_certainty,positive,negative,1.0,0.875,2,3,0.5,0.25,0.11,0.25,1,0.1887218755,0.1874019943,0.2075187496,0.6666666667000001,0.844995102,1.8642985624000001,0.4666206036,5.8940939661,1.8162125729,0.7357328622,0.941677478,0.3052042709,0.8458985353,0.5373187002,0.2755080925,4.0537493193,10.1612479578,3.7522949284,3.7522949284,5.1352327484,13.4056982451,4.415307463,4.415307463,112.5554322497,335.6662967491,43.1669154186,43.1669154186,1.8198193441,3.4594580324,1.7315324018,1.7315324018,4.5,11.5,4.0,4.0,4.5,11.5,4.0,4.0
2,5794,relevant,5,exhaustive,positive,negative,1.0,0.875,6,5,0.9500000000000001,0.1,1.0,0.85,1,0.1825986365,0.9436985443,2.8770348877,0.9941520468,1.0,143.8820535676,0.6852603779,11.0991303156,6.4344030929,0.7240722028000001,1.0,0.4141887421,1.0,0.7657419121,0.6807487646,5.9001907403,45.1017166627,90.8761515617,5.7303237664,8.9735875441,72.7622878965,162.1335233724,9.4807117564,1208.9384201227,10872.4457811043,59586.1925652017,3137.0627665896,2.0268803341,10.241923007,16.8680461123,1.8351603217,7.2,56.8,120.7,7.3,7.2,56.8,120.7,7.3
3,5794,relevant,6,high_certainty,positive,neutral,1.0,0.875,4,3,0.76,0.63,0.84,0.13,1,0.1556318133,0.0542853187,0.055814360800000004,0.46230440970000003,0.5143628038,0.7222934436,0.4744673005,7.5389331019,2.7687295765,0.6662811088,0.5343510490000001,0.30944574080000004,0.5154613994,0.6268584274,0.3881741879,8.6954482845,5.5195489925,19.9435130092,6.9821620029,11.4207865259,7.1201444676,29.0659637171,9.8629359107,282.1196892693,166.1020397296,1768.0342789294,559.0108249251,3.0659447472,2.2133326293,5.5964852843,2.4515216687,9.82,6.18,23.8,8.2,9.82,6.18,23.8,8.2
4,5794,relevant,7,high_certainty,positive,negative,1.0,0.875,5,2,0.78,0.18,0.56,0.6000000000000001,3,0.0800904572,0.7084330848,1.2324857447,0.9380863039,0.9953883308,5.3791653966,1.0397704542,9.3923327388,8.8057385377,0.4315076409,0.9999999532,0.5557674821,0.9954654601,0.7071660375000001,0.7904027554,1.9908261742,5.5137636826000005,39.2214877744,11.7804196287,2.2295106867,6.6011042393,63.1939828436,18.5418925969,16.1800895507,70.1537412865,9422.9196769571,2658.4645242699,1.2633516646,2.1997131389,9.0096666061,3.2591367351000002,2.08,5.92,49.36,14.64,2.08,5.92,49.36,14.64
5,5794,relevant,8,high_certainty,negative,positive,1.0,0.875,4,2,0.16,0.54,0.33,0.38,2,0.3610688842,0.3617164073,0.44897259170000003,0.8377425044,0.9341748642000001,2.7207535104,0.9839441784,7.7149948143,4.5849421494,0.9216148104,0.9978627641000001,0.5359866398,0.9347340212,0.6353507554000001,0.5567371504,3.9724785227,3.5321113342,4.9881080019,21.9375670101,4.68853206,4.1420828659,6.9086239404,32.0202756873,46.540268652099996,39.7935621851,373.0072166167,1954.0378872377,1.7900549939000001,1.6730098097,1.9676811125,6.0803258405,4.24,3.76,5.8,26.2,4.24,3.76,5.8,26.2
6,5794,relevant,9,low_certainty,negative,negative,1.0,0.875,5,4,0.04,0.09,0.65,0.05,1,0.19417762800000002,0.0269152959,0.027284146000000002,0.5787037037,0.5994314343,0.914870327,0.7336359878000001,9.1855700138,4.2207963881,0.7457066331000001,0.3117683372,0.435891444,0.6005788416,0.6991408427,0.5271490836,3.2433107511,23.682364261,2.9600762961,48.0418311069,4.3236009665,34.6052986613,4.1894350176,77.5464404229,210.2540593469,2116.7910445076,484.1753680491,11597.2088331779,1.5443206258000002,6.5036863272000005,1.4107521336,10.8580512075,3.7,28.3,3.48,60.52,3.7,28.3,3.48,60.52
7,5794,relevant,10,non_answer,,positive,1.0,0.875,2,1,0.48,0.48,0.04,0.0,1,0.0,0.0,0.0,0.0,0.1058456943,0.1118769173,0.2858698226,4.2585122832,1.1913868866,0.0,0.0,0.1999528733,0.1061592977,0.4269869174,0.1905579838,1.9417279114000001,2.0202052373,3.6422031313,3.8623867256,2.0587920876,2.1470247615,4.2786951644,4.5519197615,8.0219748466,8.607139417199999,41.4802388019,44.8535920353,1.1304054002,1.1412725168,1.7022711057,1.7607936979,1.96,2.04,3.88,4.12,1.96,2.04,3.88,4.12
8,5794,relevant,11,exhaustive,negative,positive,1.0,0.875,7,3,0.01,0.63,0.98,0.62,4,0.8698789568,0.7397028518000001,1.3459314227,0.9940676607000001,1.0,32.314523071400004,4.2052619474,12.6921797638,23.232870156,0.9978322275,0.9999999901000001,0.9624343915,1.0,0.8097926238,0.9837983831,8.6954482845,5.5195489925,2.8098945178,180.1795572603,11.4207865259,7.1201444676,4.5832458868,355.7413427975,282.1196892693,166.1020397296,3257.4005341781,322384.6528836339,3.0659447472,2.2133326293,1.2651214753,27.2470260572,9.82,6.18,3.54,252.46,9.82,6.18,3.54,252.46
9,5794,relevant,12,high_certainty,negative,neutral,1.0,0.875,6,3,0.01,0.2,0.61,0.19,3,0.6411349590000001,0.22982302970000001,0.261134959,0.9595959596,0.999079712,6.9908238545,2.4075391168999998,11.0393319374,13.4239290574,0.9891222906,0.9720122583,0.8472228207,0.9990996648,0.7639030006,0.9076398527,3.4429994554,10.7719978216,1.9460647533,94.6604105748,4.3081861987,14.2327447947,2.6961423513,168.9180927775,90.2443457998,357.9773831991,628.2125533179,62095.0427784733,1.6558554753,3.6234219012,1.1670320643,17.5361743696,3.8,12.2,2.26,125.74,3.8,12.2,2.26,125.74
10,5795,helpful,1,exhaustive,negative,neutral,1.0,0.75,6,6,0.06,0.75,0.9400000000000001,0.6900000000000001,0,0.4838332053,0.7935005089,1.5774573308000002,0.9787234043,1.0,192.2976702003,0.5884834694000001,11.3685507221,1e-10,0.9670184684,0.9999999996000001,0.3682336745,1.0,0.7738510612,0.0,71.9548564961,24.651618832,6.6763885197,89.9300868084,128.2106763466,43.4035587822,11.1768541077,160.4373810211,47041.9414988434,15681.3138329478,3764.2753199075,58958.9800118838,13.5274048255,5.1758016085,2.002192386,16.7010140479,95.5,32.5,8.56,119.44,95.5,32.5,8.56,119.44
11,5795,helpful,3,low_certainty,negative,positive,1.0,0.75,6,5,0.30000000000000004,0.61,0.68,0.31,1,0.0835086493,0.24690397500000003,0.2835625361,0.7259953162,0.9999969833000001,12.7113444237,0.4296641453,10.8325537521,6.4344030928,0.4450466346,0.9794133498,0.2848747859,0.9999971012000001,0.7574322074000001,0.6807487646,30.8911635158,20.1107438872,29.3819425984,67.2245327297,49.6388840187,32.0969914218,51.8842705386,119.7299645902,7369.4243627485,4711.9598384785,18817.3765995374,43905.8787322539,7.2639700381,5.0048333031,6.0109619302,12.6922445038,38.82,25.18,38.8,89.2,38.82,25.18,38.8,89.2
