StimID,YourQuestion,answer-non-answer,answer-exhaustive-answer-positive,answer-high-certainty-positive,answer-low-certainty-positive,answer-low-certainty-negative,answer-high-certainty-negative,answer-exhaustive-answer-negative,context-neutral-bias,context-positive-bias,context-negative-bias,YourQuestionIntro,name,prompt-likelihood,prompt-relevance,prompt-helpfulness,CriticalProposition
1,Will they have the ceremony outdoors?,There are supposed to be 100 guests.,It'll be on the beach.,There's a wedding canopy set up on the beach.,It's a beautiful sunny day.,It's going to be cloudy this afternoon.,It's going to rain this afternoon.,It'll be in the ballroom.,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, Kim wanted to have the ceremony on the beach, but Sam wanted to have it in the mansion ballroom.","It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, the plan was to have the ceremony on the beach, and the reception in the mansion ballroom.","It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. You're not sure if the ceremony is supposed to be on the beach or in the mansion, but last you heard they were planning on having it indoors.",You ask your friend {name}:,Clara,How likely do you think it is that they will have the ceremony indoors?,How relevant was {name}'s response to the question at hand?,How helpful was {name}'s response to the question at hand?,The probability that the ceremony will be outdoors is {probability}.
2,Are we having hamburgers for dinner?,We're having chicken soup for lunch.,We're having hamburgers and french fries.,There are hamburger buns in the kitchen.,There's ground beef in the fridge.,There's a box of pasta on the counter.,There's a lasagna in the oven.,We're having lasagna.,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which has been hamburger night the last couple weeks. ","After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which is usually hamburger night.","After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which used to be hamburger night, but lately, Mom has stopped making hamburgers because they're too ""unhealthy"".",You ask {name}:,your sibling,How likely do you think it is that you are having hamburgers for dinner?,How relevant was {name}'s response to the question at hand?,How helpful was {name}'s response to the question at hand?,The probability that we're having hamburgers is {probability}.
3,Is Joe married?,He works in the HR department.,He's married to his high school sweetheart.,He's wearing a ring.,He lives in the suburbs.,He went to the company picnic without a plus-one.,I just saw him on a dating app.,He's single.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married that would be pretty awkward.","Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married it would be pretty awkward, and you heard he has two children.","Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married that would be pretty awkward. On the other hand, he always works late, and goes to happy hour every week.",You ask your coworker {name}:,Laura,How likely do you think it is that Joe is married?,How relevant was {name}'s response to the question at hand?,How helpful was {name}'s response to the question at hand?,The probability that Joe is married is {probability}.
4,Is Maria from Madrid?,She's a talented singer.,She was born and raised in Madrid.,She's from Spain.,She speaks Spanish.,She has a French flag pin on her backpack.,She speaks Dutch.,She's from Amsterdam.,"You're planning a vacation to Madrid, and you need a local's advice on what to do. You and your friend were at a party the other day, where you were talking about Spanish food with a woman named Maria.","You're planning a vacation to Madrid, and you need a local's advice on what to do. You and your friend were at a party the other day, where you were talking about Madrid with a woman named Maria.","You're planning a vacation to Madrid, and you need a local's advice on what to do. You and your friend met a woman named Maria at a party the other day, but you don't remember where she's from.",You ask your friend {name}:,Chris,How likely do you think it is that Maria is from Madrid?,How relevant was {name}'s response to the question at hand?,How helpful was {name}'s response to the question at hand?,The probability that Maria is from Madrid is {probability}.
5,Is there anyone inside the house?,The house has two entrances.,The whole family is inside the house.,I heard voices coming from inside.,There's a light on.,There are no cars in the driveway.,All the lights are off.,The house is completely empty.,"You're a burglar on your way to meet your accomplice Chris to rob a house. You've been staking out a good looking house for the last week, and noticed that the family often goes out to dinner around this time.","You're a burglar on your way to meet your accomplice Chris to rob a house. You've been staking out a good looking house for the last week, and noticed that the family usually watches TV together around this time.","You're a burglar on your way to meet your accomplice Chris to rob a house. You've been staking out a good looking house for the last week, and noticed that the family seems to have left for vacation.",You text your accomplice {name}:,Chris,How likely do you think it is that there is somebody in the house?,How relevant was {name}'s response to the question at hand?,How helpful was {name}'s response to the question at hand?,The probability that someone is in the house is {probability}.
6,Is there any cake left?,"The cake was half chocolate, half vanilla.",There are three or four slices left.,The cake box is still on the counter in the kitchen.,I saw someone with a slice yesterday.,There were three slices left yesterday.,There was only one slice left yesterday.,The cake is finished.,"It's afternoon at the office and you're ready for a snack. There was a birthday party for Lily earlier in the week, and the cake was delicious.","It's afternoon at the office and you're ready for a snack. There was a birthday party for Lily earlier in the week, and the cake was huge and a lot of the office is out on vacation this week.","It's afternoon at the office and you're ready for a snack. There was a birthday party for Lily earlier in the week, and the cake was so delicious that the party-goers barely left any behind.",You ask your coworker {name}:,Meaghan,How likely do you think it is that there is some cake left?,How relevant was {name}'s response to the question at hand?,How helpful was {name}'s response to the question at hand?,The probability that there is some cake left is {probability}.
7,Is Lauren the mole?,Lauren had sushi for lunch.,Last night Lauren was arrested for leaking classified information.,She was caught carrying a sensitive document outside the office.,She has weekly meetings with her phone turned off.,Other agents have been acting suspicious.,The leak wasn't from Lauren's department.,"Lauren is innocent, and she has a solid alibi.","You and your colleague Lauren are CIA analysts. Lauren is a star employee with good credentials and a brilliant knack for puzzle solving. But she is also a bit secretive---not entirely unexpected given your line of work, but your training causes you to dwell on some suspicious details from your conversations. On Monday your boss told you confidentially that your department is under investigation because the director suspects that a mole is leaking information to a foreign power.","You and your colleague Lauren are CIA analysts. Lauren is a star employee with good credentials and a brilliant knack for puzzle solving. But lately you have noticed some suspicious things about her habits. She is almost always the last to leave, but one time when you stayed to work late, you noticed her talking to a shady figure in the parking lot. Another time, you could have sworn you saw her slip some documents into her bag before leaving---documents that are not supposed to leave the office. On Monday your boss told you confidentially that your department is under investigation because the director suspects that a mole is leaking information to a foreign power.",You and your colleague Lauren are CIA analysts. Lauren is a star employee with good credentials and a brilliant knack for puzzle solving. She seems completely loyal to the agency. On Monday your boss told you confidentially that your department is under investigation because the director suspects that a mole is leaking information to a foreign power.,You ask your colleague {name} privately:,Alan,How likely do you think it is that Lauren is the mole?,How relevant was {name}'s response to the question at hand?,How helpful was {name}'s response to the question at hand?,The probability that Lauren is the mole is {probability}.
8,Did Tony get Ethan a cookbook for his birthday?,Ethan's sister gave him fuzzy socks.,Tony got Ethan The Joy of Cooking.,I saw Tony order a cookbook with gift-wrap.,Tony asked about cookbook recommendations the other day.,Tony asked about fantasy novel recommendations the other day.,Tony knows that Ethan has too many cookbooks.,Tony got Ethan a fantasy novel instead.,Tony got Ethan a book-shaped birthday gift. The book looks big and is probably a hardcover. You wonder if it could be a cool new cookbook.,Tony got Ethan a book-shaped birthday gift. The book looks big and is probably a hardcover. You know that Ethan is really into cooking.,Tony got Ethan a book-shaped birthday gift. The book looks big and is probably a hardcover. You know that Ethan loves long fantasy novels.,You ask your friend {name}:,Claire,How likely do you think it is that Tony got Ethan a cookbook for his birthday?,How relevant was {name}'s response to the question at hand?,How helpful was {name}'s response to the question at hand?,The probability that Tony got Ethan a cookbook for his birthday is {probability}.
9,Is the pizza place open today?,Weekend hours are 10am to 10pm.,It's open 7 days a week.,Google maps says it's open now.,Most pizza places are open on Mondays.,"It's a small town, and most restaurants are closed on Mondays.",It was closed last Monday.,Monday is their day off.,"After a rowdy Sunday night, you wake up on Monday morning with a burning desire for pizza. You recently moved to the neighborhood, you're not sure whether the pizza place down the street is open on Mondays.","After a rowdy Sunday night, you wake up on Monday morning with a burning desire for pizza. You look outside your window at the pizza place down the street and the lights are on.","After a rowdy Sunday night, you wake up on Monday morning with a burning desire for pizza. You wonder whether your favorite pizza place is open, but you remember another similar Monday when you found that it was closed.",You ask your roommate {name}:,Buster,How likely do you think it is that the pizza place is open today?,How relevant was {name}'s response to the question at hand?,How helpful was {name}'s response to the question at hand?,The probability that the pizza place is open today is {probability}.
10,Did Adam get the lead role?,The set design budget is huge this year.,Adam got the part.,Everyone else who auditioned for the lead got a different part.,"Buster got a rejection email yesterday, but Adam didn't.",Adam is not a great dancer.,Adam has never been in a musical before.,Buster got the part instead.,"Your friend Adam grew up listening to the Les Miserables soundtrack. This year, the school's drama club is putting on the show, and (naturally) Adam auditioned for the lead role. ","Your friend Adam grew up listening to the Les Miserables soundtrack. By age 10 he had memorized every song and occasionally put on full-length productions with his stuffed animals. This year, the school's drama club is putting on the show, and (naturally) Adam auditioned for the lead role. ","Your friend Adam grew up listening to the Les Miserables soundtrack. This year, the school's drama club is putting on the show, and (naturally) Adam auditioned for the lead role. Adam is enthusiastic, but he's very shy and quiet.",You ask your friend {name}:,Jane,How likely do you think it is that Adam got the lead role?,How relevant was {name}'s response to the question at hand?,How helpful was {name}'s response to the question at hand?,The probability that Adam got the lead role is {probability}.
11,Is Jane going to be late?,She's bringing a bottle of wine.,She'll be a half hour late.,She's still at work.,There's traffic.,Jane says she's on the way.,Jane has never been late before.,She's right outside.,You’re throwing a party and you’re expecting your roommate's friend Jane to come. It’s 20 minutes before the party.,"You’re throwing a party and you’re expecting your roommate's friend Jane to come. It’s 20 minutes before the party, and last you heard Jane still had to drop her kids off at the babysitter's.","You’re throwing a party and you’re expecting your roommate's friend Jane to come. It’s 20 minutes before the party. Jane said she would help set up, so you're expecting her to be early.",You text your friend {name} to ask:,Joe,How likely do you think it is that Jane will be late?,How relevant was {name}'s response to the question at hand?,How helpful was {name}'s response to the question at hand?,The probability that Jane will be late is {probability}.
12,Is school canceled?,They are renovating the school this year.,They already announced that school is canceled.,The street is covered with ice.,There's a little ice on the sidewalk.,They didn't cancel last time it snowed.,A school bus is coming down the road now.,They already announced that school would be open.,"Before bed last night, you saw it was supposed to snow overnight. You wake up at 6:00am and look out the window, and notice that the snow has stopped. The sidewalk is dusted with a thin layer of snow.","Before bed last night, you saw it was supposed to snow overnight. You wake up at 6:00am and look out the window, and notice that it's still snowing. The roads are covered in a thick layer of snow.","Before bed last night, you saw it was supposed to snow overnight. You wake up at 6:00am and look out the window, and see that it's sunny and there's no snow on the ground.",You ask {name}:,your mother,How likely do you think it is that school is canceled?,How relevant was {name}'s response to the question at hand?,How helpful was {name}'s response to the question at hand?,The probability that school is canceled is {probability}.
