StimID,TrialType,TaskType,Answer,AnswerCertainty,AnswerPolarity,Context,ContextType,CriticalProposition,YourQuestion,YourQuestionIntro,name,SliderLabelLeft,SliderLabelRight,AnswerIntro,TaskQuestion
1,main,prior,There are supposed to be 100 guests.,non_answer,N/A,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. You're not sure if the ceremony is supposed to be on the beach or in the mansion, but last you heard they were planning on having it indoors.",negative,the ceremony will be outdoors,Will they have the ceremony outdoors?,You ask your friend Clara:,Clara,highly unlikely,highly likely,Clara responds:,How likely do you think it is that the ceremony will be outdoors?
1,main,prior,There are supposed to be 100 guests.,non_answer,N/A,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, Kim wanted to have the ceremony on the beach, but Sam wanted to have it in the mansion ballroom.",neutral,the ceremony will be outdoors,Will they have the ceremony outdoors?,You ask your friend Clara:,Clara,highly unlikely,highly likely,Clara responds:,How likely do you think it is that the ceremony will be outdoors?
1,main,prior,There are supposed to be 100 guests.,non_answer,N/A,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, the plan was to have the ceremony on the beach, and the reception in the mansion ballroom.",positive,the ceremony will be outdoors,Will they have the ceremony outdoors?,You ask your friend Clara:,Clara,highly unlikely,highly likely,Clara responds:,How likely do you think it is that the ceremony will be outdoors?
1,main,prior,It'll be in the ballroom.,exhaustive,negative,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. You're not sure if the ceremony is supposed to be on the beach or in the mansion, but last you heard they were planning on having it indoors.",negative,the ceremony will be outdoors,Will they have the ceremony outdoors?,You ask your friend Clara:,Clara,highly unlikely,highly likely,Clara responds:,How likely do you think it is that the ceremony will be outdoors?
1,main,prior,It'll be in the ballroom.,exhaustive,negative,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, Kim wanted to have the ceremony on the beach, but Sam wanted to have it in the mansion ballroom.",neutral,the ceremony will be outdoors,Will they have the ceremony outdoors?,You ask your friend Clara:,Clara,highly unlikely,highly likely,Clara responds:,How likely do you think it is that the ceremony will be outdoors?
1,main,prior,It'll be in the ballroom.,exhaustive,negative,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, the plan was to have the ceremony on the beach, and the reception in the mansion ballroom.",positive,the ceremony will be outdoors,Will they have the ceremony outdoors?,You ask your friend Clara:,Clara,highly unlikely,highly likely,Clara responds:,How likely do you think it is that the ceremony will be outdoors?
1,main,prior,It's going to rain this afternoon.,high_certainty,negative,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. You're not sure if the ceremony is supposed to be on the beach or in the mansion, but last you heard they were planning on having it indoors.",negative,the ceremony will be outdoors,Will they have the ceremony outdoors?,You ask your friend Clara:,Clara,highly unlikely,highly likely,Clara responds:,How likely do you think it is that the ceremony will be outdoors?
1,main,prior,It's going to rain this afternoon.,high_certainty,negative,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, Kim wanted to have the ceremony on the beach, but Sam wanted to have it in the mansion ballroom.",neutral,the ceremony will be outdoors,Will they have the ceremony outdoors?,You ask your friend Clara:,Clara,highly unlikely,highly likely,Clara responds:,How likely do you think it is that the ceremony will be outdoors?
1,main,prior,It's going to rain this afternoon.,high_certainty,negative,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, the plan was to have the ceremony on the beach, and the reception in the mansion ballroom.",positive,the ceremony will be outdoors,Will they have the ceremony outdoors?,You ask your friend Clara:,Clara,highly unlikely,highly likely,Clara responds:,How likely do you think it is that the ceremony will be outdoors?
1,main,prior,It's going to be cloudy this afternoon.,low_certainty,negative,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. You're not sure if the ceremony is supposed to be on the beach or in the mansion, but last you heard they were planning on having it indoors.",negative,the ceremony will be outdoors,Will they have the ceremony outdoors?,You ask your friend Clara:,Clara,highly unlikely,highly likely,Clara responds:,How likely do you think it is that the ceremony will be outdoors?
