submission_id,StimID,AnswerCertainty,AnswerPolarity,ContextType,pos,pri,rel,bch,ech,klu,bfu,conf_pos,conf_pri,2ord_bch,beta_ech,beta_klu,beta_bfu,beta_bch,RowID,GroupID,pos_rank,pri_rank,rel_rank,bch_rank,ech_rank,klu_rank,bfu_rank,conf_pos_rank,conf_pri_rank,2ord_bch_rank,beta_ech_rank,beta_klu_rank,beta_bfu_rank,beta_bch_rank,pos_rank_diff,pri_rank_diff,rel_rank_diff,bch_rank_diff,ech_rank_diff,klu_rank_diff,bfu_rank_diff,conf_pos_rank_diff,conf_pri_rank_diff,2ord_bch_rank_diff,beta_ech_rank_diff,beta_klu_rank_diff,beta_bfu_rank_diff,beta_bch_rank_diff,pos_mean,pos_rank_mean,pos_rank_diff_mean,pri_mean,pri_rank_mean,pri_rank_diff_mean,rel_mean,rel_rank_mean,rel_rank_diff_mean,bch_mean,bch_rank_mean,bch_rank_diff_mean,ech_mean,ech_rank_mean,ech_rank_diff_mean,klu_mean,klu_rank_mean,klu_rank_diff_mean,bfu_mean,bfu_rank_mean,bfu_rank_diff_mean,conf_pos_mean,conf_pos_rank_mean,conf_pos_rank_diff_mean,conf_pri_mean,conf_pri_rank_mean,conf_pri_rank_diff_mean,2ord_bch_mean,2ord_bch_rank_mean,2ord_bch_rank_diff_mean,beta_ech_mean,beta_ech_rank_mean,beta_ech_rank_diff_mean,beta_klu_mean,beta_klu_rank_mean,beta_klu_rank_diff_mean,beta_bfu_mean,beta_bfu_rank_mean,beta_bfu_rank_diff_mean,beta_bch_mean,beta_bch_rank_mean,beta_bch_rank_diff_mean,Answer,Context,CriticalProposition,YourQuestion,YourQuestionIntro,AnswerIntro,stimulus
5794,2,non_answer,positive,neutral,0.70,0.70,0.04,0.00,0.00,0.00,0.00,4,4,0,0.00,0.00,0.69,0.00,2non_answerpositiveneutral5794,2non_answerpositiveneutral,1546.00,1748.50,173.00,157.00,174.50,157.00,292.00,340.50,657.50,394.00,116.50,107.00,107.00,276.50,1373.00,1575.50,0.00,-16.00,1.50,-16.00,119.00,167.50,484.50,221.00,-56.50,-66.00,-66.00,103.50,0.45,1129.38,489.96,0.72,1807.71,1168.29,0.38,639.42,0.00,0.27,1122.25,482.83,0.19,903.92,264.50,0.42,1080.58,441.17,0.52,954.83,315.42,4.58,679.88,40.46,4.83,1186.71,547.29,0.75,977.42,338.00,0.00,792.79,153.38,0.63,1095.71,456.29,7.47,842.83,203.42,38.36,1016.38,376.96,We're having chicken soup for lunch.,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which has been hamburger night the last couple weeks. ",we're having hamburgers,Are we having hamburgers for dinner?,You ask your sibling:,Your sibling responds:,"GroupID: **2non_answerpositiveneutral**

AnswerCertainty: **`non_answer`**

AnswerPolarity: **`positive`**

ContextType: **`neutral`**

After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which has been hamburger night the last couple weeks. 

You ask your sibling: **Are we having hamburgers for dinner?**

Your sibling responds: **We're having chicken soup for lunch.**"
5839,2,non_answer,positive,neutral,0.50,0.70,0.03,0.20,0.12,0.25,0.57,4,4,0,0.00,0.87,5.80,0.00,2non_answerpositiveneutral5839,2non_answerpositiveneutral,1218.00,1748.50,161.00,1151.00,825.00,1003.50,815.00,340.50,657.50,394.00,596.50,815.00,342.50,670.00,1057.00,1587.50,0.00,990.00,664.00,842.50,654.00,179.50,496.50,233.00,435.50,654.00,181.50,509.00,0.45,1129.38,489.96,0.72,1807.71,1168.29,0.38,639.42,0.00,0.27,1122.25,482.83,0.19,903.92,264.50,0.42,1080.58,441.17,0.52,954.83,315.42,4.58,679.88,40.46,4.83,1186.71,547.29,0.75,977.42,338.00,0.00,792.79,153.38,0.63,1095.71,456.29,7.47,842.83,203.42,38.36,1016.38,376.96,We're having chicken soup for lunch.,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which has been hamburger night the last couple weeks. ",we're having hamburgers,Are we having hamburgers for dinner?,You ask your sibling:,Your sibling responds:,"GroupID: **2non_answerpositiveneutral**

AnswerCertainty: **`non_answer`**

AnswerPolarity: **`positive`**

ContextType: **`neutral`**

After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which has been hamburger night the last couple weeks. 

You ask your sibling: **Are we having hamburgers for dinner?**

Your sibling responds: **We're having chicken soup for lunch.**"
5857,2,non_answer,positive,neutral,0.70,0.70,0.00,0.00,0.00,0.00,0.00,2,2,0,0.00,0.00,0.69,0.00,2non_answerpositiveneutral5857,2non_answerpositiveneutral,1546.00,1748.50,64.50,157.00,174.50,157.00,292.00,42.00,116.00,394.00,116.50,107.00,107.00,276.50,1481.50,1684.00,0.00,92.50,110.00,92.50,227.50,-22.50,51.50,329.50,52.00,42.50,42.50,212.00,0.45,1129.38,489.96,0.72,1807.71,1168.29,0.38,639.42,0.00,0.27,1122.25,482.83,0.19,903.92,264.50,0.42,1080.58,441.17,0.52,954.83,315.42,4.58,679.88,40.46,4.83,1186.71,547.29,0.75,977.42,338.00,0.00,792.79,153.38,0.63,1095.71,456.29,7.47,842.83,203.42,38.36,1016.38,376.96,We're having chicken soup for lunch.,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which has been hamburger night the last couple weeks. ",we're having hamburgers,Are we having hamburgers for dinner?,You ask your sibling:,Your sibling responds:,"GroupID: **2non_answerpositiveneutral**

AnswerCertainty: **`non_answer`**

AnswerPolarity: **`positive`**

ContextType: **`neutral`**

After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which has been hamburger night the last couple weeks. 

You ask your sibling: **Are we having hamburgers for dinner?**

Your sibling responds: **We're having chicken soup for lunch.**"
5866,2,non_answer,positive,neutral,0.75,0.75,0.00,0.00,0.00,0.00,0.00,4,4,0,0.00,0.00,0.69,0.00,2non_answerpositiveneutral5866,2non_answerpositiveneutral,1635.50,1885.50,64.50,157.00,174.50,157.00,143.00,340.50,657.50,394.00,116.50,107.00,107.00,276.50,1571.00,1821.00,0.00,92.50,110.00,92.50,78.50,276.00,593.00,329.50,52.00,42.50,42.50,212.00,0.45,1129.38,489.96,0.72,1807.71,1168.29,0.38,639.42,0.00,0.27,1122.25,482.83,0.19,903.92,264.50,0.42,1080.58,441.17,0.52,954.83,315.42,4.58,679.88,40.46,4.83,1186.71,547.29,0.75,977.42,338.00,0.00,792.79,153.38,0.63,1095.71,456.29,7.47,842.83,203.42,38.36,1016.38,376.96,We're having chicken soup for lunch.,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which has been hamburger night the last couple weeks. ",we're having hamburgers,Are we having hamburgers for dinner?,You ask your sibling:,Your sibling responds:,"GroupID: **2non_answerpositiveneutral**

AnswerCertainty: **`non_answer`**

AnswerPolarity: **`positive`**

ContextType: **`neutral`**

After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which has been hamburger night the last couple weeks. 

You ask your sibling: **Are we having hamburgers for dinner?**

Your sibling responds: **We're having chicken soup for lunch.**"
5906,2,non_answer,positive,neutral,0.55,0.55,0.00,0.00,0.00,0.00,0.00,5,5,0,0.00,0.00,0.69,0.00,2non_answerpositiveneutral5906,2non_answerpositiveneutral,1318.00,1355.50,64.50,157.00,174.50,157.00,143.00,741.50,1191.00,394.00,116.50,107.00,107.00,276.50,1253.50,1291.00,0.00,92.50,110.00,92.50,78.50,677.00,1126.50,329.50,52.00,42.50,42.50,212.00,0.45,1129.38,489.96,0.72,1807.71,1168.29,0.38,639.42,0.00,0.27,1122.25,482.83,0.19,903.92,264.50,0.42,1080.58,441.17,0.52,954.83,315.42,4.58,679.88,40.46,4.83,1186.71,547.29,0.75,977.42,338.00,0.00,792.79,153.38,0.63,1095.71,456.29,7.47,842.83,203.42,38.36,1016.38,376.96,We're having chicken soup for lunch.,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which has been hamburger night the last couple weeks. ",we're having hamburgers,Are we having hamburgers for dinner?,You ask your sibling:,Your sibling responds:,"GroupID: **2non_answerpositiveneutral**

AnswerCertainty: **`non_answer`**

AnswerPolarity: **`positive`**

ContextType: **`neutral`**

After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which has been hamburger night the last couple weeks. 

You ask your sibling: **Are we having hamburgers for dinner?**

Your sibling responds: **We're having chicken soup for lunch.**"
5907,2,non_answer,positive,neutral,0.10,0.80,0.80,0.70,0.25,0.98,0.97,5,6,1,0.00,1.00,11.55,53.85,2non_answerpositiveneutral5907,2non_answerpositiveneutral,540.50,2015.00,1269.00,2172.50,1228.00,2130.00,1827.00,741.50,1822.50,1214.00,539.00,2004.00,1257.00,1388.00,-728.50,746.00,0.00,903.50,-41.00,861.00,558.00,-527.50,553.50,-55.00,-730.00,735.00,-12.00,119.00,0.45,1129.38,489.96,0.72,1807.71,1168.29,0.38,639.42,0.00,0.27,1122.25,482.83,0.19,903.92,264.50,0.42,1080.58,441.17,0.52,954.83,315.42,4.58,679.88,40.46,4.83,1186.71,547.29,0.75,977.42,338.00,0.00,792.79,153.38,0.63,1095.71,456.29,7.47,842.83,203.42,38.36,1016.38,376.96,We're having chicken soup for lunch.,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which has been hamburger night the last couple weeks. ",we're having hamburgers,Are we having hamburgers for dinner?,You ask your sibling:,Your sibling responds:,"GroupID: **2non_answerpositiveneutral**

AnswerCertainty: **`non_answer`**

AnswerPolarity: **`positive`**

ContextType: **`neutral`**

After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which has been hamburger night the last couple weeks. 

You ask your sibling: **Are we having hamburgers for dinner?**

Your sibling responds: **We're having chicken soup for lunch.**"
5933,2,non_answer,positive,neutral,0.05,0.63,0.94,0.58,0.66,0.92,0.97,6,4,2,0.00,1.00,11.63,78.83,2non_answerpositiveneutral5933,2non_answerpositiveneutral,375.00,1556.50,1678.00,2026.50,1981.50,1990.50,1808.50,1390.00,657.50,1844.50,1939.00,2004.00,1516.00,1669.50,-1303.00,-121.50,0.00,348.50,303.50,312.50,130.50,-288.00,-1020.50,166.50,261.00,326.00,-162.00,-8.50,0.45,1129.38,489.96,0.72,1807.71,1168.29,0.38,639.42,0.00,0.27,1122.25,482.83,0.19,903.92,264.50,0.42,1080.58,441.17,0.52,954.83,315.42,4.58,679.88,40.46,4.83,1186.71,547.29,0.75,977.42,338.00,0.00,792.79,153.38,0.63,1095.71,456.29,7.47,842.83,203.42,38.36,1016.38,376.96,We're having chicken soup for lunch.,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which has been hamburger night the last couple weeks. ",we're having hamburgers,Are we having hamburgers for dinner?,You ask your sibling:,Your sibling responds:,"GroupID: **2non_answerpositiveneutral**

AnswerCertainty: **`non_answer`**

AnswerPolarity: **`positive`**

ContextType: **`neutral`**

After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which has been hamburger night the last couple weeks. 

You ask your sibling: **Are we having hamburgers for dinner?**

Your sibling responds: **We're having chicken soup for lunch.**"
5947,2,non_answer,positive,neutral,0.55,0.66,0.19,0.11,0.07,0.08,0.37,4,5,1,0.00,0.74,9.09,24.98,2non_answerpositiveneutral5947,2non_answerpositiveneutral,1318.00,1645.50,308.00,830.00,638.00,670.00,571.00,340.50,1191.00,1214.00,712.00,700.00,681.50,954.50,1010.00,1337.50,0.00,522.00,330.00,362.00,263.00,32.50,883.00,906.00,404.00,392.00,373.50,646.50,0.45,1129.38,489.96,0.72,1807.71,1168.29,0.38,639.42,0.00,0.27,1122.25,482.83,0.19,903.92,264.50,0.42,1080.58,441.17,0.52,954.83,315.42,4.58,679.88,40.46,4.83,1186.71,547.29,0.75,977.42,338.00,0.00,792.79,153.38,0.63,1095.71,456.29,7.47,842.83,203.42,38.36,1016.38,376.96,We're having chicken soup for lunch.,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which has been hamburger night the last couple weeks. ",we're having hamburgers,Are we having hamburgers for dinner?,You ask your sibling:,Your sibling responds:,"GroupID: **2non_answerpositiveneutral**

AnswerCertainty: **`non_answer`**

AnswerPolarity: **`positive`**

ContextType: **`neutral`**

After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which has been hamburger night the last couple weeks. 

You ask your sibling: **Are we having hamburgers for dinner?**

Your sibling responds: **We're having chicken soup for lunch.**"
5971,2,non_answer,positive,neutral,0.12,0.71,0.90,0.59,0.34,0.92,0.94,7,6,1,0.00,1.00,14.01,116.10,2non_answerpositiveneutral5971,2non_answerpositiveneutral,602.00,1805.00,1541.00,2034.50,1455.00,1986.00,1684.00,2058.00,1822.50,1214.00,1672.00,2004.00,1859.00,2003.50,-939.00,264.00,0.00,493.50,-86.00,445.00,143.00,517.00,281.50,-327.00,131.00,463.00,318.00,462.50,0.45,1129.38,489.96,0.72,1807.71,1168.29,0.38,639.42,0.00,0.27,1122.25,482.83,0.19,903.92,264.50,0.42,1080.58,441.17,0.52,954.83,315.42,4.58,679.88,40.46,4.83,1186.71,547.29,0.75,977.42,338.00,0.00,792.79,153.38,0.63,1095.71,456.29,7.47,842.83,203.42,38.36,1016.38,376.96,We're having chicken soup for lunch.,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which has been hamburger night the last couple weeks. ",we're having hamburgers,Are we having hamburgers for dinner?,You ask your sibling:,Your sibling responds:,"GroupID: **2non_answerpositiveneutral**

AnswerCertainty: **`non_answer`**

AnswerPolarity: **`positive`**

ContextType: **`neutral`**

After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which has been hamburger night the last couple weeks. 

You ask your sibling: **Are we having hamburgers for dinner?**

Your sibling responds: **We're having chicken soup for lunch.**"
5997,2,non_answer,positive,neutral,0.15,0.75,0.70,0.60,0.20,0.93,0.94,5,6,1,0.00,1.00,11.55,53.85,2non_answerpositiveneutral5997,2non_answerpositiveneutral,650.00,1885.50,986.00,2056.50,1092.50,2012.50,1671.00,741.50,1822.50,1214.00,529.50,2004.00,1257.00,1531.00,-336.00,899.50,0.00,1070.50,106.50,1026.50,685.00,-244.50,836.50,228.00,-456.50,1018.00,271.00,545.00,0.45,1129.38,489.96,0.72,1807.71,1168.29,0.38,639.42,0.00,0.27,1122.25,482.83,0.19,903.92,264.50,0.42,1080.58,441.17,0.52,954.83,315.42,4.58,679.88,40.46,4.83,1186.71,547.29,0.75,977.42,338.00,0.00,792.79,153.38,0.63,1095.71,456.29,7.47,842.83,203.42,38.36,1016.38,376.96,We're having chicken soup for lunch.,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which has been hamburger night the last couple weeks. ",we're having hamburgers,Are we having hamburgers for dinner?,You ask your sibling:,Your sibling responds:,"GroupID: **2non_answerpositiveneutral**

AnswerCertainty: **`non_answer`**

AnswerPolarity: **`positive`**

ContextType: **`neutral`**

After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which has been hamburger night the last couple weeks. 

You ask your sibling: **Are we having hamburgers for dinner?**

Your sibling responds: **We're having chicken soup for lunch.**"
